"2015-09-20,AA,19805,AA,2193,13930,1393003,30977,ORD,13303,1330303,32467,MIA,2015-09-20T23:40:00,2015-09-20T23:59:00,19.00,10.00,2015-09-21T00:09:00,2015-09-21T02:44:00,14.00,2015-09-21T02:52:00,2015-09-21T02:58:00,6.00,0.00,,0.00,1197.00,41.97944444,-87.90750000,-18000.0,25.79527778,-80.29000000,-14400.0,arrived,2015-09-21T02:58:00"
"2015-09-20,AA,19805,AA,1659,13303,1330303,32467,MIA,15304,1530402,33195,TPA,2015-09-21T01:45:00,2015-09-21T02:52:00,67.00,11.00,2015-09-21T03:03:00,,,2015-09-22T02:49:00,,,0.00,,,204.00,25.79527778,-80.29000000,-14400.0,27.97555556,-82.53333333,-14400.0,wheelsoff,2015-09-21T03:03:00"
"2015-09-20,AA,19805,AA,919,15304,1530402,33195,TPA,13303,1330303,32467,MIA,2015-09-21T01:55:00,2015-09-21T02:57:00,62.00,9.00,2015-09-21T03:06:00,,,2015-09-21T02:58:00,,,0.00,,,204.00,27.97555556,-82.53333333,-14400.0,25.79527778,-80.29000000,-14400.0,wheelsoff,2015-09-21T03:06:00"
"2015-09-20,AA,19805,AA,301,13303,1330303,32467,MIA,13198,1319801,33198,MCI,2015-09-21T01:30:00,2015-09-21T02:57:00,87.00,10.00,2015-09-21T03:07:00,,,2015-09-21T04:47:00,,,0.00,,,1251.00,25.79527778,-80.29000000,-14400.0,39.29750000,-94.71388889,-18000.0,wheelsoff,2015-09-21T03:07:00"
"2015-09-20,AA,19805,AA,1389,12953,1295302,31703,LGA,13303,1330303,32467,MIA,2015-09-20T23:55:00,2015-09-20T23:54:00,-1.00,42.00,2015-09-21T00:36:00,2015-09-21T03:00:00,10.00,2015-09-21T03:02:00,2015-09-21T03:10:00,8.00,0.00,,0.00,1096.00,40.77722222,-73.87250000,-14400.0,25.79527778,-80.29000000,-14400.0,arrived,2015-09-21T03:10:00"
"2015-09-20,AA,19805,AA,2498,13303,1330303,32467,MIA,12266,1226603,31453,IAH,2015-09-21T01:10:00,2015-09-21T02:53:00,103.00,20.00,2015-09-21T03:13:00,,,2015-09-21T04:00:00,,,0.00,,,964.00,25.79527778,-80.29000000,-14400.0,29.98444444,-95.34138889,-18000.0,wheelsoff,2015-09-21T03:13:00"
"2015-09-20,AA,19805,AA,63,13303,1330303,32467,MIA,12266,1226603,31453,IAH,2015-09-20T23:45:00,2015-09-21T00:44:00,59.00,18.00,2015-09-21T01:02:00,2015-09-21T03:12:00,6.00,2015-09-21T02:35:00,2015-09-21T03:18:00,43.00,0.00,,0.00,964.00,25.79527778,-80.29000000,-14400.0,29.98444444,-95.34138889,-18000.0,arrived,2015-09-21T03:18:00"
"2015-09-20,AA,19805,AA,341,13303,1330303,32467,MIA,13495,1349503,33495,MSY,2015-09-21T01:35:00,2015-09-21T02:59:00,84.00,25.00,2015-09-21T03:24:00,,,2015-09-21T03:39:00,,,0.00,,,675.00,25.79527778,-80.29000000,-14400.0,29.99333333,-90.25916667,-18000.0,wheelsoff,2015-09-21T03:24:00"
"2015-09-20,AA,19805,AA,1828,13303,1330303,32467,MIA,11057,1105703,31057,CLT,2015-09-21T01:05:00,2015-09-21T01:18:00,13.00,42.00,2015-09-21T02:00:00,2015-09-21T03:29:00,4.00,2015-09-21T03:13:00,2015-09-21T03:33:00,20.00,0.00,,0.00,650.00,25.79527778,-80.29000000,-14400.0,35.21361111,-80.94916667,-14400.0,arrived,2015-09-21T03:33:00"
"2015-09-20,AA,19805,AA,1486,13303,1330303,32467,MIA,11278,1127803,30852,DCA,2015-09-21T00:15:00,2015-09-21T01:09:00,54.00,20.00,2015-09-21T01:29:00,2015-09-21T03:30:00,4.00,2015-09-21T02:50:00,2015-09-21T03:34:00,44.00,0.00,,0.00,919.00,25.79527778,-80.29000000,-14400.0,38.85138889,-77.03777778,-14400.0,arrived,2015-09-21T03:34:00"
